도로명,색상,도로 길이,시작지점,종착지점,경유 행정구역,좌표데이터
"고송대로","#7777aa","16303m","효빈광역시 북구 고송1동(고송동)","효빈광역시 북구 채산동(곡진동)","효빈광역시 북구 고송1동(고송동) | 효빈광역시 북구 고송4동(고송동) | 효빈광역시 북구 고송5동(고송동) | 효빈광역시 북구 고송8동(고송동) | 효빈광역시 북구 청능동 | 효빈광역시 북구 청능동(입선동) | 효빈광역시 북구 청능동(입희동) | 효빈광역시 북구 산고동(서도동) | 효빈광역시 북구 중수4동(중수동) | 효빈광역시 북구 중수2동(중수동) | 효빈광역시 북구 채산동(평전동) | 효빈광역시 북구 채산동(아자동) | 효빈광역시 북구 채산동(곡진동) | 효빈광역시 북구 고송3동(고송동) | 효빈광역시 북구 산고동(추산동) | 효빈광역시 북구 중수3동(중수동) | 효빈광역시 북구 채산동(등기동)","[-22796,15394]; [-23124,15436]; [-23439,15845]; [-23951,16767]; [-24652,18028]; [-25088,18771]; [-25322,19198]; [-25794,20732]; [-26164,21838]; [-26167,23957]; [-26158,25091]; [-26155,26677]; [-26173,28177]; [-26110,28617]; [-26031,28626]; [-26019,30005]; [-26016,30602]"
"고중로","#7777aa","11302m","효빈광역시 북구 고송1동(고송동)","효빈광역시 청엽구 입빈동(입동1가)","효빈광역시 북구 고송1동(고송동) | 효빈광역시 서구 청덕2동(청덕동) | 효빈광역시 서구 과진7동(과진동) | 효빈광역시 서구 과진3동(과진동) | 효빈광역시 서구 당선3동(당선동) | 효빈광역시 서구 당선4동(당선동) | 효빈광역시 서구 북성동(북문동1가) | 효빈광역시 중구 조유동(조유동1가) | 효빈광역시 중구 중앙동(소장동1가) | 효빈광역시 중구 중앙동(소장동2가) | 효빈광역시 중구 중앙동(중앙로1가) | 효빈광역시 중구 중앙동(중앙로2가) | 효빈광역시 중구 중앙동(창선동3가) | 효빈광역시 중구 중앙동(창선동1가) | 효빈광역시 중구 약맥동(목동) | 효빈광역시 청엽구 입빈동(입동2가) | 효빈광역시 청엽구 입빈동(입동1가) | 효빈광역시 서구 청덕3동(청덕동) | 효빈광역시 서구 과진5동(과진동) | 효빈광역시 중구 약맥동(오주동) | 효빈광역시 청엽구 입빈동(입동3가)","[-23176,15255]; [-24396,15278]; [-24904,15852]; [-25223,16697]; [-25271,16748]; [-26388,16753]; [-26774,16309]; [-27766,16328]; [-28740,17194]; [-28825,17198]; [-28899,17116]; [-28883,16918]; [-29319,16534]; [-29473,16401]; [-29696,16201]; [-29910,16155]; [-30029,16176]; [-30190,16325]; [-30241,16419]; [-31343,16383]; [-32111,16385]; [-32437,16383]"
"효빈로","#7777aa","14627m","효빈광역시 서구 청덕2동(청덕동)","효빈광역시 동구 덕현9동(덕현동)","효빈광역시 서구 청덕2동(청덕동) | 효빈광역시 서구 청덕3동(청덕동) | 효빈광역시 북구 고송4동(고송동) | 효빈광역시 북구 고송5동(고송동) | 효빈광역시 북구 고송8동(고송동) | 효빈광역시 북구 고송7동(고송동) | 효빈광역시 북구 진희동 | 효빈광역시 북구 포산동 | 효빈광역시 북구 중수1동(중수동) | 효빈광역시 북구 중수4동(중수동) | 효빈광역시 북구 오내1동(오내동) | 효빈광역시 북구 오내2동(오내동) | 효빈광역시 동구 덕현9동(덕현동) | 효빈광역시 북구 산고동(추산동) | 효빈광역시 북구 남전동","[-24590,14354]; [-24568,16099]; [-24577,17144]; [-24577,17995]; [-24576,18927]; [-24567,20083]; [-24570,20891]; [-24815,21373]; [-24837,21884]; [-24815,23062]; [-24811,23686]; [-24935,24327]; [-25044,24697]; [-25162,24897]; [-25567,25009]; [-25805,25131]; [-26004,25085]; [-26302,24832]; [-26536,24479]; [-26728,24248]; [-27172,24188]; [-27874,24194]; [-28682,24206]"
"요소로","#7777aa","7493m","효빈광역시 중구 조유동(조유동1가)","효빈광역시 북구 고송7동(고송동)","효빈광역시 중구 조유동(조유동1가) | 효빈광역시 서구 북성동(내성동1가) | 효빈광역시 서구 북성동(내성동2가) | 효빈광역시 북구 사능1동(사능동1가) | 효빈광역시 북구 사능2동(사능동2가) | 효빈광역시 북구 사능1동(생곡동) | 효빈광역시 북구 천왕사동(해서동) | 효빈광역시 북구 천왕사동 | 효빈광역시 북구 청능동 | 효빈광역시 북구 고송7동(고송동) | 효빈광역시 서구 북성동(북문동2가) | 효빈광역시 북구 사능1동(사능동2가)","[-28808,17207]; [-28556,17487]; [-28392,17728]; [-28392,18478]; [-28387,19396]; [-28390,19956]; [-27670,20006]; [-26446,20012]; [-25782,19525]; [-23954,19532]"
"당선로","#7777aa","15187m","효빈광역시 서구 당선4동(당선동)","효빈광역시 안천구 안천1동(무로동)","효빈광역시 서구 당선4동(당선동) | 효빈광역시 서구 당선1동(당선동) | 효빈광역시 북구 소조동 | 효빈광역시 북구 사능2동(사능동2가) | 효빈광역시 북구 천왕사동(해서동) | 효빈광역시 북구 오내2동(오내동) | 효빈광역시 북구 채산동 | 효빈광역시 북구 채산동(실본동) | 효빈광역시 북구 채산동(수포동) | 효빈광역시 안천구 당가1동(당가동) | 효빈광역시 안천구 당가2동(당가동) | 효빈광역시 안천구 안천1동(무로동) | 효빈광역시 북구 채산동(신영동)","[-27519,16106]; [-27519,16857]; [-27521,16982]; [-27585,17238]; [-27580,17970]; [-27716,18704]; [-27725,18984]; [-27725,19100]; [-27846,19398]; [-27913,20607]; [-27999,22018]; [-28055,22855]; [-28016,23288]; [-28026,24204]; [-28018,26090]; [-28036,26920]; [-28043,28171]; [-28063,29772]; [-28082,30126]; [-28137,30727]; [-28137,31237]"
"중탄로","#7777aa","27785m","효빈광역시 동구 전천동","효빈광역시 탄성군 야진읍 신리","효빈광역시 동구 전천동 | 효빈광역시 북구 천왕사동 | 효빈광역시 북구 청능동(입희동) | 효빈광역시 북구 산고동(추산동) | 효빈광역시 북구 중수1동(중수동) | 효빈광역시 북구 중수2동(중수동) | 효빈광역시 북구 채산동(등기동) | 효빈광역시 북구 채산동(평전동) | 효빈광역시 안천구 당가2동(당가동) | 효빈광역시 안천구 뇌전동(하가동) | 효빈광역시 탄성군 흑택면 루비리 | 효빈광역시 탄성군 흑택면 명현리 | 효빈광역시 탄성군 흑택면 보습리 | 효빈광역시 탄성군 탄성읍 탄성리 | 효빈광역시 탄성군 표명리 | 효빈광역시 탄성군 탄성읍 공리 | 효빈광역시 탄성군 야진읍 신리 | 효빈광역시 북구 천왕사동(해서동) | 효빈광역시 북구 산고동(서도동) | 효빈광역시 북구 중수3동(중수동) | 효빈광역시 북구 채산동(아진동) | 효빈광역시 안천구 당가1동(당가동) | 효빈광역시 안천구 뇌전동(상가동) | 효빈광역시 탄성군 흑택면 흑택리 | 효빈광역시 탄성군 흑택면 은염리 | 효빈광역시 탄성군 탄성읍 신리","[-28403,21034]; [-27409,21190]; [-26707,21391]; [-26207,21885]; [-25765,22607]; [-25713,24576]; [-25726,26700]; [-25719,27019]; [-26194,28240]; [-26486,29040]; [-26681,29267]; [-26908,29300]; [-27532,29878]; [-29358,29845]; [-31691,29819]; [-33348,29832]; [-34069,30040]; [-34316,30430]; [-35154,30333]; [-36045,31236]; [-36045,32919]; [-36045,34452]; [-36053,34466]; [-36032,35372]; [-35517,36263]; [-35002,36827]; [-34702,37697]; [-34653,38248]"
"중수로","#7777aa","11425m","효빈광역시 북구 포산동","효빈광역시 창전구 창전2동(창전동)","효빈광역시 북구 포산동 | 효빈광역시 북구 중수1동(중수동) | 효빈광역시 북구 중수4동(중수동) | 효빈광역시 동구 덕현7동(덕현동) | 효빈광역시 청엽구 우택동 | 효빈광역시 창전구 유류동 | 효빈광역시 창전구 창전2동(창전동) | 효빈광역시 북구 남전동 | 효빈광역시 동구 덕현11동(덕현동) | 효빈광역시 청엽구 청엽3동(청엽동) | 효빈광역시 창전구 창전1동(창전동)","[-23724,23549]; [-24030,23945]; [-24361,24316]; [-24439,24491]; [-24861,24569]; [-27071,24569]; [-28689,24569]; [-30833,24608]; [-32821,24595]; [-34667,24595]"
"중수중앙로","#7777aa","2138m","효빈광역시 북구 중수1동(중수동)","효빈광역시 북구 채산동(등기동)","효빈광역시 북구 중수1동(중수동) | 효빈광역시 북구 채산동(등기동) | 효빈광역시 북구 중수3동(중수동)","[-25856,25141]; [-25856,27279]"
"모포로","#7777aa","10854m","효빈광역시 북구 중수1동(중수동)","효빈광역시 창전구 창전4동(창전동)","효빈광역시 북구 중수1동(중수동) | 효빈광역시 안천구 북택동 | 효빈광역시 창전구 진백동 | 효빈광역시 창전구 창전4동(창전동) | 효빈광역시 북구 중수3동(중수동) | 효빈광역시 청엽구 우택동 | 효빈광역시 창전구 칠심1동(칠심동)","[-24634,25641]; [-28689,25628]; [-28702,25576]; [-32042,25563]; [-35447,25544]"
"내성로","#7777aa","1025m","효빈광역시 서구 북성동(북문동1가)","효빈광역시 서구 북성동(내성동2가)","효빈광역시 서구 북성동(북문동1가) | 효빈광역시 서구 북성동(내성동2가) | 효빈광역시 서구 북성동(북문동2가)","[-28221,16742]; [-28213,17767]"
