시설물명,종류,인접도로명,이격거리(px),상세주소,위도,경도
"현대조선 효빈조선소 제2분소","일반건물","해안남북로","141","효빈광역시 남구 항2동(항동2가)","-28525","1137"
"효빈해양산업고","일반건물","해안남북로","124","효빈광역시 남구 항2동(항동2가)","-28709","1380"
"항동푸르지오아파트","일반건물","효빈항로","69","효빈광역시 남구 항2동(항동2가)","-28443","1417"
"효빈 출입국 외국인청","일반건물","효빈항로","54","효빈광역시 남구 항2동(항동2가)","-28322","1470"
"효빈출입국관리사무소","일반건물","효빈항로","54","효빈광역시 남구 항2동(항동2가)","-28322","1470"
"항동초","일반건물","해안남북로","38","효빈광역시 남구 항2동(항동2가)","-28707","1636"
"효빈해양경찰서","일반건물","해안남북로","184","효빈광역시 남구 항2동(항동2가)","-29046","1732"
"서남지방해양경찰청","일반건물","해안남북로","136","효빈광역시 남구 항2동(항동2가)","-29115","1987"
"해양아파트","일반건물","해앙로","200","효빈광역시 남구 항2동(항동2가)","-28636","2108"
"효빈항국제여객터미널역","지하철역","효빈항로","21","효빈광역시 남구 항2동(항동2가)","-28518","2364"
"2호선 항동차량기지","일반건물","해앙로","283","효빈광역시 남구 항2동(항동2가)","-28034","2398"
"항동중","일반건물","효빈항로","75","효빈광역시 남구 항2동(항동2가)","-28671","2430"
"국목공원","일반건물","효빈항로","75","효빈광역시 남구 항2동(항동2가)","-28471","2450"
"소여아파트","일반건물","효빈항로","112","효빈광역시 남구 항2동(항동2가)","-28784","2483"
"효빈항 국제여객터미널","일반건물","효빈항로","224","효빈광역시 남구 항2동(항동2가)","-28361","2552"
"효빈항국제터미널역","일반건물","효빈항로","224","효빈광역시 남구 항2동(항동2가)","-28361","2552"
"회주공업사원아파트","일반건물","효빈항로","100","효빈광역시 남구 항2동(항동2가)","-28674","2717"
"회주공업사원1단지","일반건물","효빈항로","100","효빈광역시 남구 항2동(항동2가)","-28674","2717"
"봉전공원","일반건물","효빈항로","16","효빈광역시 남구 항2동(항동2가)","-28790","2753"
"회주공업사원2단지","일반건물","효빈항로","158","효빈광역시 남구 항2동(항동2가)","-28737","3064"
"종람초","일반건물","강무로","27","효빈광역시 남구 항2동(항동1가)","-30336","3602"
"대한통운 남효빈지역센터","일반건물","효빈항로","258","효빈광역시 남구 항2동(항동2가)","-28694","3657"
"항동주공1단지","일반건물","강무로","258","효빈광역시 남구 항2동(항동1가)","-30085","3665"
"항동주공2단지","일반건물","어간로","177","효빈광역시 남구 항2동(항동1가)","-29757","3732"
"항동1가역","지하철역","어간로","12","효빈광역시 남구 항2동(항동1가)","-29657","3906"
"맥도날드 항동DT","일반건물","어간로","38","효빈광역시 남구 항2동(항동1가)","-29780","3972"
"항동엘리프아파트","일반건물","강무로","88","효빈광역시 남구 항2동(항동1가)","-30333","3995"
"하림 효빈1공장","일반건물","무개로","258","효빈광역시 남구 항2동(항동1가)","-29296","4068"
"항동고","일반건물","강무로","62","효빈광역시 남구 항2동(항동1가)","-30134","4095"
"항동아파트","일반건물","어간로","148","효빈광역시 남구 항2동(항동1가)","-29974","4103"
"항구초","일반건물","어간로","41","효빈광역시 남구 항2동(항동1가)","-29807","4192"
"토장병원","일반건물","문간로","60","효빈광역시 남구 어간1동(어간동)","-30450","4218"
"항동아쿠아아파트","일반건물","효빈항로","86","효빈광역시 남구 항2동(항동2가)","-28968","4250"
"항2동행정복지센터","일반건물","어간로","69","효빈광역시 남구 항2동(항동1가)","-29830","4296"
"cj재일제당 효빈1공장","일반건물","효빈항로","101","효빈광역시 남구 항2동(항동2가)","-29184","4383"
"어간주공1단지","일반건물","문간로","87","효빈광역시 남구 어간1동(어간동)","-30589","4542"
"어간주공3단지","일반건물","어천로","118","효빈광역시 남구 어간1동(어간동)","-30910","4624"
"어간 양우내안에아파트","일반건물","어간로","101","효빈광역시 남구 어간1동(어간동)","-30148","4781"
"기랑공원","일반건물","효빈항로","59","효빈광역시 남구 항2동(항동2가)","-29224","4813"
"어간주공2단지","일반건물","문간로","107","효빈광역시 남구 어간1동(어간동)","-30600","4941"
"효빈해양대 2캠퍼스","일반건물","해양로","211","효빈광역시 남구 어간1동(어간동)","-31107","4990"
"어간블렌하임아파트","일반건물","어간로","60","효빈광역시 남구 어간1동(어간동)","-30188","5024"
"어간주공4단지","일반건물","어천로","60","효빈광역시 남구 어간1동(어간동)","-30851","5046"
"한국폴리텍8대학","일반건물","해양로","94","효빈광역시 남구 어간1동(어간동)","-31219","5296"
"어간역","지하철역","어간로","10","효빈광역시 남구 어간1동(어간동)","-30230","5300"
"어간신원리브렐","일반건물","강무로","34","효빈광역시 남구 어간1동(어간동)","-29916","5459"
"어간신원리브웰아파트","일반건물","강무로","34","효빈광역시 남구 어간1동(어간동)","-29916","5459"
"어간1동행정복지센터","일반건물","어천로","182","효빈광역시 남구 어간1동(어간동)","-30972","5527"
"어간디아채아파트","일반건물","어천로","177","효빈광역시 남구 어간1동(어간동)","-30613","5549"
"항동해안아파트","일반건물","효빈항로","87","효빈광역시 남구 항3동(항동2가)","-29218","5553"
"엽월대학교 병원","일반건물","해안남북로","169","효빈광역시 남구 어간1동(어간동)","-31508","5609"
"항동산단","일반건물","희산로","98","효빈광역시 남구 항3동(항동1가)","-29588","5778"
"어간현대아파트","일반건물","강무로","176","효빈광역시 남구 어간1동(어간동)","-30055","5793"
"어간세영","일반건물","구갈로","171","효빈광역시 남구 어간1동(어간동)","-30227","5799"
"어간공원","일반건물","어간로","63","효빈광역시 남구 어간1동(어간동)","-30496","5838"
"효빈보건대","일반건물","엽월대병원로","80","효빈광역시 남구 어간1동(어간동)","-31407","5858"
"효빈보건대학교","일반건물","엽월대병원로","80","효빈광역시 남구 어간1동(어간동)","-31407","5858"
"맥도날드 어간DT","일반건물","어간항로","51","효빈광역시 남구 어간1동(어간동)","-30936","5943"
"어간헤센","일반건물","어간항로","128","효빈광역시 남구 어간2동(어간동)","-30267","6017"
"희산공업사원아파트","일반건물","희산로","66","효빈광역시 남구 항3동(항동2가)","-29475","6028"
"어간아파트","일반건물","어간항로","105","효빈광역시 남구 어간2동(어간동)","-31146","6111"
"어간삼성아파트","일반건물","강무로","102","효빈광역시 남구 항3동(항동1가)","-29978","6116"
"어간항","일반건물","해안남북로","113","효빈광역시","-31870","6158"
"희산공업 제2공장","일반건물","효빈항로","81","효빈광역시 남구 항3동(항동2가)","-29446","6242"
"어간중앙역","지하철역","어간로","2","효빈광역시 남구 어간2동(어간동)","-30848","6260"
"어간벨리아파트","일반건물","괴성로","134","효빈광역시 남구 어간2동(어간동)","-31074","6354"
"어간여고","일반건물","엽월대병원로","63","효빈광역시 남구 어간2동(어간동)","-31262","6409"
"어간여자고등학교","일반건물","엽월대병원로","63","효빈광역시 남구 어간2동(어간동)","-31262","6409"
"어간페리체","일반건물","괴성로","135","효빈광역시 남구 어간2동(어간동)","-30341","6444"
"항동남서","일반건물","무개로","83","효빈광역시 남구 항3동(항동1가)","-29969","6493"
"항동남서아파트","일반건물","무개로","83","효빈광역시 남구 항3동(항동1가)","-29969","6493"
"어천초","일반건물","괴성로","199","효빈광역시 남구 어간2동(어간동)","-30274","6508"
"항3동행정복지센터","일반건물","희산로","20","효빈광역시 남구 항3동(항동2가)","-29629","6535"
"1,8호선 곽암차량기지","일반건물","해안남북로","184","효빈광역시 남구 곽산2동(곽산동)","-38833","6589"
"버거킹 어간점","일반건물","어간로","22","효빈광역시 남구 어간2동(어간동)","-31114","6621"
"항동삼각공원","일반건물","무개로","132","효빈광역시 남구 항3동(항동1가)","-30018","6694"
"어간초","일반건물","어천로","117","효빈광역시 남구 어간2동(어간동)","-30636","6766"
"어간초역","지하철역","어천로","9","효빈광역시 남구 어간2동(어간동)","-30746","6864"
"어간신영","일반건물","어성로","96","효빈광역시 남구 항3동(항동1가)","-30193","6883"
"어간신영아파트","일반건물","어성로","96","효빈광역시 남구 항3동(항동1가)","-30193","6883"
"곽암해수욕장","일반건물","곽산로","197","효빈광역시 남구 곽산2동(곽산동)","-39384","6932"
"항동주성아파트","일반건물","어성로","68","효빈광역시 남구 항3동(항동1가)","-30135","7047"
"석무공원","일반건물","어성로","104","효빈광역시 남구 어간3동(어간동)","-32130","7072"
"어간해수욕장","일반건물","해안남북로","186","효빈광역시 남구 어간3동(어간동)","-32534","7080"
"어간수산시장역","지하철역","어간로","6","효빈광역시 남구 어간2동(어간동)","-31334","7085"
"효빈해양대1캠퍼스","일반건물","어성로","120","효빈광역시 남구 어간2동(어간동)","-31857","7089"
"곽암바다아파트","일반건물","곽산동서2로","79","효빈광역시 남구 곽산2동(곽산동)","-39100","7114"
"희산공업 제2공장","일반건물","어성로","247","효빈광역시 남구 항3동(항동2가)","-29311","7130"
"어간2동행정복지센터","일반건물","엽월대병원로","126","효빈광역시 남구 어간2동(어간동)","-31196","7131"
"백생공원","일반건물","해안남북로","41","효빈광역시 남구 어간3동(어간동)","-32309","7146"
